IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
35.73.80.176,10005,TRUE,NRT,Asia Pacific,Tokyo,80 ms,31790 kB/s
132.145.123.25,1235,TRUE,NRT,Asia Pacific,Tokyo,183 ms,30450 kB/s
158.101.152.6,2919,TRUE,NRT,Asia Pacific,Tokyo,205 ms,29208 kB/s
140.83.54.126,34237,TRUE,KIX,Asia Pacific,Osaka,297 ms,28305 kB/s
116.206.93.131,50018,TRUE,NRT,Asia Pacific,Tokyo,135 ms,28246 kB/s
138.2.10.149,45638,TRUE,NRT,Asia Pacific,Tokyo,189 ms,28218 kB/s
139.162.103.162,18836,TRUE,NRT,Asia Pacific,Tokyo,76 ms,27774 kB/s
193.32.149.141,44443,TRUE,NRT,Asia Pacific,Tokyo,89 ms,27610 kB/s
139.162.123.42,18836,TRUE,NRT,Asia Pacific,Tokyo,79 ms,27556 kB/s
172.104.100.39,18836,TRUE,NRT,Asia Pacific,Tokyo,85 ms,26833 kB/s
47.79.34.91,37585,TRUE,NRT,Asia Pacific,Tokyo,87 ms,26785 kB/s
103.117.103.62,18443,TRUE,NRT,Asia Pacific,Tokyo,79 ms,26712 kB/s
152.69.202.173,59407,TRUE,KIX,Asia Pacific,Osaka,298 ms,26253 kB/s
38.47.97.114,11424,TRUE,KIX,Asia Pacific,Osaka,131 ms,26037 kB/s
172.104.64.174,18836,TRUE,NRT,Asia Pacific,Tokyo,86 ms,25607 kB/s
210.152.242.45,10800,TRUE,KIX,Asia Pacific,Osaka,95 ms,25514 kB/s
172.105.216.242,18836,TRUE,NRT,Asia Pacific,Tokyo,79 ms,25118 kB/s
172.105.201.141,10492,TRUE,NRT,Asia Pacific,Tokyo,79 ms,24973 kB/s
46.51.228.54,10005,TRUE,NRT,Asia Pacific,Tokyo,84 ms,24972 kB/s
35.79.194.239,10030,TRUE,NRT,Asia Pacific,Tokyo,81 ms,24845 kB/s
168.138.192.16,54584,TRUE,NRT,Asia Pacific,Tokyo,172 ms,24792 kB/s
172.104.110.10,14673,TRUE,NRT,Asia Pacific,Tokyo,78 ms,24165 kB/s
172.104.113.18,74,TRUE,NRT,Asia Pacific,Tokyo,78 ms,24077 kB/s
168.138.39.24,16071,TRUE,KIX,Asia Pacific,Osaka,209 ms,23572 kB/s
172.105.204.139,18836,TRUE,NRT,Asia Pacific,Tokyo,86 ms,23494 kB/s
172.105.219.59,18836,TRUE,NRT,Asia Pacific,Tokyo,76 ms,23049 kB/s
141.147.161.249,51037,TRUE,NRT,Asia Pacific,Tokyo,184 ms,22801 kB/s
47.74.2.175,10086,TRUE,NRT,Asia Pacific,Tokyo,84 ms,22627 kB/s
131.186.63.89,11655,TRUE,NRT,Asia Pacific,Tokyo,182 ms,22315 kB/s
144.48.4.225,9001,TRUE,NRT,Asia Pacific,Tokyo,76 ms,21223 kB/s
172.105.199.168,4399,TRUE,NRT,Asia Pacific,Tokyo,85 ms,21128 kB/s
47.74.40.106,15000,TRUE,NRT,Asia Pacific,Tokyo,75 ms,21102 kB/s
139.162.103.207,18836,TRUE,NRT,Asia Pacific,Tokyo,77 ms,20173 kB/s
141.147.178.249,37043,TRUE,NRT,Asia Pacific,Tokyo,182 ms,20004 kB/s
206.190.239.107,8080,TRUE,KIX,Asia Pacific,Osaka,119 ms,19979 kB/s
172.104.110.10,555,TRUE,NRT,Asia Pacific,Tokyo,78 ms,19801 kB/s
47.79.37.119,1010,TRUE,NRT,Asia Pacific,Tokyo,81 ms,19517 kB/s
212.50.253.184,33033,TRUE,KIX,Asia Pacific,Osaka,120 ms,19440 kB/s
178.157.63.141,50427,TRUE,KIX,Asia Pacific,Osaka,113 ms,19124 kB/s
172.105.193.246,18836,TRUE,NRT,Asia Pacific,Tokyo,79 ms,19037 kB/s
47.79.40.75,9089,TRUE,NRT,Asia Pacific,Tokyo,78 ms,18961 kB/s
47.245.40.126,33443,TRUE,NRT,Asia Pacific,Tokyo,80 ms,18831 kB/s
45.66.128.117,10016,TRUE,NRT,Asia Pacific,Tokyo,103 ms,18032 kB/s
116.206.93.52,58253,TRUE,NRT,Asia Pacific,Tokyo,142 ms,18022 kB/s
156.231.141.129,8788,TRUE,NRT,Asia Pacific,Tokyo,115 ms,18003 kB/s
210.239.65.174,20137,TRUE,NRT,Asia Pacific,Tokyo,81 ms,17511 kB/s
54.178.209.246,10030,TRUE,NRT,Asia Pacific,Tokyo,78 ms,17024 kB/s
47.79.32.90,12299,TRUE,NRT,Asia Pacific,Tokyo,83 ms,16914 kB/s
52.68.92.88,10030,TRUE,NRT,Asia Pacific,Tokyo,78 ms,16849 kB/s
103.232.213.177,25930,TRUE,NRT,Asia Pacific,Tokyo,75 ms,16591 kB/s
172.105.197.52,20205,TRUE,NRT,Asia Pacific,Tokyo,77 ms,16532 kB/s
203.137.166.120,50090,TRUE,NRT,Asia Pacific,Tokyo,91 ms,16428 kB/s
192.243.122.160,8444,TRUE,KIX,Asia Pacific,Osaka,122 ms,16308 kB/s
139.162.83.106,32225,TRUE,NRT,Asia Pacific,Tokyo,76 ms,16197 kB/s
18.180.249.33,10029,TRUE,NRT,Asia Pacific,Tokyo,85 ms,16015 kB/s
47.79.35.149,50006,TRUE,NRT,Asia Pacific,Tokyo,81 ms,15942 kB/s
45.78.55.192,23232,TRUE,KIX,Asia Pacific,Osaka,126 ms,15792 kB/s
54.150.13.126,10005,TRUE,NRT,Asia Pacific,Tokyo,86 ms,15713 kB/s
34.85.56.80,20113,TRUE,NRT,Asia Pacific,Tokyo,102 ms,15697 kB/s
139.162.83.106,386,TRUE,NRT,Asia Pacific,Tokyo,78 ms,15464 kB/s
212.52.0.171,9443,TRUE,NRT,Asia Pacific,Tokyo,79 ms,15192 kB/s
139.162.83.190,4399,TRUE,NRT,Asia Pacific,Tokyo,77 ms,14989 kB/s
172.105.199.184,20205,TRUE,NRT,Asia Pacific,Tokyo,82 ms,14721 kB/s
13.112.171.92,10005,TRUE,NRT,Asia Pacific,Tokyo,79 ms,14678 kB/s
35.73.80.176,10017,TRUE,NRT,Asia Pacific,Tokyo,82 ms,14064 kB/s
176.119.150.38,44388,TRUE,NRT,Asia Pacific,Tokyo,104 ms,13788 kB/s
150.230.204.21,10243,TRUE,NRT,Asia Pacific,Tokyo,191 ms,13385 kB/s
52.68.192.163,8449,TRUE,NRT,Asia Pacific,Tokyo,84 ms,13299 kB/s
20.78.15.203,43061,TRUE,NRT,Asia Pacific,Tokyo,102 ms,13062 kB/s
47.74.25.192,23333,TRUE,NRT,Asia Pacific,Tokyo,82 ms,12995 kB/s
18.180.249.33,10005,TRUE,NRT,Asia Pacific,Tokyo,79 ms,12809 kB/s
172.105.194.182,386,TRUE,NRT,Asia Pacific,Tokyo,81 ms,12721 kB/s
172.105.208.156,32225,TRUE,NRT,Asia Pacific,Tokyo,77 ms,12546 kB/s
45.66.130.58,51002,TRUE,NRT,Asia Pacific,Tokyo,79 ms,12476 kB/s
203.137.181.40,16072,TRUE,NRT,Asia Pacific,Tokyo,83 ms,12272 kB/s
57.180.137.238,54889,TRUE,NRT,Asia Pacific,Tokyo,81 ms,11648 kB/s
139.162.83.82,32225,TRUE,NRT,Asia Pacific,Tokyo,80 ms,11270 kB/s
45.66.217.145,50009,TRUE,NRT,Asia Pacific,Tokyo,143 ms,11197 kB/s
139.162.83.77,20205,TRUE,NRT,Asia Pacific,Tokyo,75 ms,10968 kB/s
150.230.192.48,29876,TRUE,NRT,Asia Pacific,Tokyo,181 ms,10883 kB/s
3.112.184.40,10010,TRUE,NRT,Asia Pacific,Tokyo,81 ms,10768 kB/s
13.114.81.83,10030,TRUE,NRT,Asia Pacific,Tokyo,83 ms,10713 kB/s
172.105.199.184,32225,TRUE,NRT,Asia Pacific,Tokyo,77 ms,10652 kB/s
13.113.113.240,10005,TRUE,NRT,Asia Pacific,Tokyo,82 ms,10643 kB/s
172.105.197.52,386,TRUE,NRT,Asia Pacific,Tokyo,83 ms,10377 kB/s
172.104.113.18,32225,TRUE,NRT,Asia Pacific,Tokyo,81 ms,10303 kB/s
45.66.128.215,51358,TRUE,NRT,Asia Pacific,Tokyo,84 ms,10146 kB/s
139.162.83.77,4399,TRUE,NRT,Asia Pacific,Tokyo,75 ms,10077 kB/s
121.84.129.206,10304,TRUE,KIX,Asia Pacific,Osaka,140 ms,9698 kB/s
172.105.199.184,4399,TRUE,NRT,Asia Pacific,Tokyo,80 ms,9660 kB/s
149.28.25.176,32225,TRUE,NRT,Asia Pacific,Tokyo,196 ms,9624 kB/s
172.105.208.156,386,TRUE,NRT,Asia Pacific,Tokyo,82 ms,9180 kB/s
139.162.83.82,12306,TRUE,NRT,Asia Pacific,Tokyo,78 ms,9140 kB/s
172.104.116.38,32225,TRUE,NRT,Asia Pacific,Tokyo,87 ms,9061 kB/s
172.104.113.112,20205,TRUE,NRT,Asia Pacific,Tokyo,83 ms,9051 kB/s
138.3.222.124,46209,TRUE,NRT,Asia Pacific,Tokyo,184 ms,9040 kB/s
139.162.83.82,486,TRUE,NRT,Asia Pacific,Tokyo,81 ms,8632 kB/s
133.232.218.169,12536,TRUE,NRT,Asia Pacific,Tokyo,217 ms,8382 kB/s
172.104.116.38,74,TRUE,NRT,Asia Pacific,Tokyo,81 ms,8118 kB/s
139.162.102.152,7002,TRUE,NRT,Asia Pacific,Tokyo,77 ms,8027 kB/s
139.162.83.190,486,TRUE,NRT,Asia Pacific,Tokyo,83 ms,7990 kB/s
46.51.228.54,10030,TRUE,NRT,Asia Pacific,Tokyo,78 ms,7715 kB/s
139.162.83.77,12306,TRUE,NRT,Asia Pacific,Tokyo,75 ms,7671 kB/s
152.70.111.197,33536,TRUE,NRT,Asia Pacific,Tokyo,177 ms,7385 kB/s
172.104.116.38,386,TRUE,NRT,Asia Pacific,Tokyo,81 ms,7383 kB/s
139.162.83.106,4399,TRUE,NRT,Asia Pacific,Tokyo,81 ms,7279 kB/s
139.162.83.77,74,TRUE,NRT,Asia Pacific,Tokyo,84 ms,6989 kB/s
139.162.83.190,12306,TRUE,NRT,Asia Pacific,Tokyo,76 ms,6398 kB/s
172.105.194.182,20205,TRUE,NRT,Asia Pacific,Tokyo,77 ms,6314 kB/s
57.181.148.76,10005,TRUE,NRT,Asia Pacific,Tokyo,84 ms,6281 kB/s
210.129.11.81,20004,TRUE,NRT,Asia Pacific,Tokyo,81 ms,6224 kB/s
132.145.126.40,32498,TRUE,NRT,Asia Pacific,Tokyo,184 ms,6107 kB/s
139.162.83.190,74,TRUE,NRT,Asia Pacific,Tokyo,80 ms,5984 kB/s
172.105.199.184,486,TRUE,NRT,Asia Pacific,Tokyo,78 ms,5936 kB/s
172.104.113.112,32225,TRUE,NRT,Asia Pacific,Tokyo,84 ms,5770 kB/s
158.101.146.3,44872,TRUE,NRT,Asia Pacific,Tokyo,202 ms,5696 kB/s
47.79.37.226,31794,TRUE,LAX,North America,Los Angeles,83 ms,5673 kB/s
158.101.139.31,7000,TRUE,NRT,Asia Pacific,Tokyo,183 ms,5666 kB/s
138.3.210.67,30032,TRUE,NRT,Asia Pacific,Tokyo,174 ms,5626 kB/s
138.3.217.167,587,TRUE,NRT,Asia Pacific,Tokyo,185 ms,5605 kB/s
158.101.146.3,31651,TRUE,NRT,Asia Pacific,Tokyo,195 ms,5597 kB/s
138.2.50.44,26614,TRUE,KIX,Asia Pacific,Osaka,295 ms,5594 kB/s
139.162.108.5,32225,TRUE,NRT,Asia Pacific,Tokyo,75 ms,5558 kB/s
52.69.102.187,10005,TRUE,NRT,Asia Pacific,Tokyo,82 ms,5530 kB/s
152.70.101.24,16098,TRUE,NRT,Asia Pacific,Tokyo,206 ms,5526 kB/s
132.145.114.230,12563,TRUE,NRT,Asia Pacific,Tokyo,182 ms,5417 kB/s
168.138.223.148,10037,TRUE,NRT,Asia Pacific,Tokyo,178 ms,5385 kB/s
172.105.208.156,74,TRUE,NRT,Asia Pacific,Tokyo,78 ms,5366 kB/s
138.2.39.24,12308,TRUE,KIX,Asia Pacific,Osaka,293 ms,5363 kB/s
168.138.197.147,12345,TRUE,NRT,Asia Pacific,Tokyo,78 ms,5346 kB/s
158.101.154.245,47001,TRUE,NRT,Asia Pacific,Tokyo,204 ms,5282 kB/s
152.70.101.24,16087,TRUE,NRT,Asia Pacific,Tokyo,191 ms,5266 kB/s
64.110.101.90,55007,TRUE,KIX,Asia Pacific,Osaka,213 ms,5234 kB/s
84.22.149.83,9443,TRUE,FRA,Europe,Frankfurt,261 ms,5223 kB/s
158.101.131.94,26502,TRUE,NRT,Asia Pacific,Tokyo,185 ms,5181 kB/s
152.70.101.24,16079,TRUE,NRT,Asia Pacific,Tokyo,204 ms,5164 kB/s
141.147.162.24,1235,TRUE,NRT,Asia Pacific,Tokyo,176 ms,5161 kB/s
140.238.62.82,1443,TRUE,NRT,Asia Pacific,Tokyo,185 ms,5148 kB/s
138.2.26.118,20020,TRUE,NRT,Asia Pacific,Tokyo,174 ms,5141 kB/s
64.110.106.255,627,TRUE,KIX,Asia Pacific,Osaka,298 ms,5132 kB/s
155.248.184.178,30011,TRUE,NRT,Asia Pacific,Tokyo,185 ms,5126 kB/s
158.101.89.113,58443,TRUE,NRT,Asia Pacific,Tokyo,181 ms,5119 kB/s
152.70.101.24,16080,TRUE,NRT,Asia Pacific,Tokyo,196 ms,5095 kB/s
139.162.108.5,20205,TRUE,NRT,Asia Pacific,Tokyo,78 ms,5062 kB/s
131.186.62.78,34237,TRUE,NRT,Asia Pacific,Tokyo,192 ms,5057 kB/s
152.70.101.24,16078,TRUE,NRT,Asia Pacific,Tokyo,209 ms,5038 kB/s
64.110.98.1,30000,TRUE,KIX,Asia Pacific,Osaka,204 ms,5034 kB/s
168.138.203.197,30011,TRUE,NRT,Asia Pacific,Tokyo,171 ms,5008 kB/s
132.145.124.236,32238,TRUE,NRT,Asia Pacific,Tokyo,180 ms,5008 kB/s
